APO Catalog,,,,,,20041,,,,,,,Cernis-52,,,,,,,23180,,,,,,,281159,,,,,,,23512,,,,,,,24534,,,,,,,24912,,,,,,,28482,,,,,,,37061,,,,,,,37903,,,,,,,43384,,,,,,,147084,,,,,,,147889,,,,,,,148579,,,,,,,166734,,,,,,,168625,,,,,,,175156,,,,,,,183143,,,,,,,190603,,,,,,,194279,,,,,,,Cyg-OB2-5,,,,,,,Cyg-OB2-12,,,,,,,204827,,,,,,,206267,,,,,,,223385,,,,,,
idx,Wav,FWHM,FWHM,xm2,xm2,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result
,A,km/s,A,km/s,A,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,
491,7268.40 ,49.12 ,1.19 ,18.82 ,0.46 ,7268.23,0.86,,9.6,1.7,0.38,D,,,1,4.8,,,L,7268.54,1.42,,11.5,0.8,0.6,D,,,1,3.8,,,L,,,1,1.2,,,L,,,1,4.4,,,L,,,,,,,R,,,1,3.6,,,L,,,1,1.1,,,L,7268.13,1.32,,5.3,1,0.45,D,7268.33,1.07,,6.9,1.3,0.39,D,7268.8,1.72,,18.6,2.7,0.5,D,,,1,4.1,,,L,,,1,4.1,,,L,7268.57,1.01,,10.9,2.6,0.4,D,7268.4,1.44,,21.1,3.7,0.48,D,,,1,2.8,,,L,7268.55,1.08,,17,2.9,0.47,D,,,1,4.6,,,L,7268.36,1.39,,16.3,1.9,0.46,D,,,1,5.5,,,L,7268.35,1.15,,26,1.4,0.43,D,7268.14,0.63,,2.5,0.5,,D,,,,,,,R,,,1,2.4,,,L
492,7276.59 ,26.75 ,0.65 ,9.38 ,0.23 ,7276.54,0.5,,16.9,0.9,0.22,D,,,1,8.1,,,L,7276.64,0.81,,3.9,1.1,0.26,D,7276.61,0.87,,3.5,0.8,0.26,D,,,1,2.8,,,L,,,1,8.5,,,L,,,1,2.3,,,L,,,1,3.7,,,L,,,1,2.8,,,L,,,,,,,R,7276.53,0.56,,11.6,1.1,0.18,D,,,1,4.7,,,L,,,1,3.9,,,L,,,1,3.9,,,L,7276.75,0.64,,26,0.8,0.23,D,,,1,6.8,,,L,,,,,,,R,7276.69,0.71,,45.9,1,0.28,D,7276.67,0.42,,7.1,1.2,0.17,D,7276.32,0.68,,13.9,1.2,0.22,D,,,,,,,R,7276.57,0.59,1,28.9,2,0.23,C,7276.58,0.86,1,16.8,0.9,0.35,C,,,1,9.2,,,L,,,,,,,R
493,7322.07 ,22.40 ,0.55 ,9.36 ,0.23 ,7321.99,0.55,,5.8,0.4,0.18,D,,,,,,,R,,,1,1.1,,,L,7322.12,0.88,,4.2,0.4,0.31,D,7322.16,0.6,,1.9,0.3,0.27,D,7322.14,0.29,,3.9,0.9,0.3,D,7322.2,0.33,,3.1,0.7,0.24,D,,,1,2.1,,,L,,,1,1.1,,,L,,,1,1.4,,,L,7322.01,0.46,,6.5,0.1,0.21,D,,,1,10.6,,,L,,,1,2.3,,,L,,,1,2.3,,,L,7322.23,0.68,,8.3,0.5,0.24,D,,,1,1.9,,,L,,,1,0.9,,,L,7322.14,0.57,,8.3,0.5,0.21,D,,,1,0.9,,,L,7321.78,0.67,,4.4,0.6,0.21,D,7322.03,0.62,,10,0.9,0.23,D,7321.93,0.55,,10.1,0.7,0.22,D,7322.05,0.36,,1.8,0.3,0.12,D,,,1,6.3,,,L,,,1,0.8,,,L
494,7329.79 ,70.60 ,1.73 ,26.85 ,0.66 ,7329.63,2.15,,29.3,2.8,0.96,D,,,1,18.6,,,L,,,1,4.4,,,L,7329.64,1.82,,6.8,1.3,0.65,D,,,1,3,,,L,,,1,6.8,,,L,,,1,4.2,,,L,,,1,7.2,,,L,,,1,4.6,,,L,,,1,5,,,L,7329.82,1.51,,6.7,2,0.49,D,,,,,,,R,,,1,7.8,,,L,,,1,7.8,,,L,7330.05,1.93,,20.7,1.3,0.71,D,,,1,9.9,,,L,,,1,4.8,,,L,7329.85,1.8,,22.5,2.3,0.69,D,7329,2.01,,9.4,1.7,0.77,D,,,1,8.8,,,L,7329.88,1.39,,21.5,2.7,0.55,D,7330.23,1.81,,19.2,2.7,0.75,D,7329.66,1.36,,6.5,1,0.47,D,,,1,10.3,,,L,7330.1,1.47,,17.5,1.1,0.52,D
495,7334.53 ,36.96 ,0.90 ,14.70 ,0.36 ,7334.36,0.84,,42.4,0.8,0.43,D,,,1,5.8,,,L,,,1,1.1,,,L,7334.56,1.21,,13.4,0.5,0.46,D,,,1,2,,,L,,,1,2.3,,,L,7334.54,0.7,,11,0.3,0.31,D,7334.29,0.75,,7.8,0.6,0.26,D,7334.91,1.33,,6.6,0.9,0.43,D,7334.62,1.11,,4.6,0.4,0.35,D,7334.36,0.86,,21.3,0.5,0.33,D,7334.59,0.36,,17.4,1.1,0.31,D,,,1,4.5,,,L,,,1,4.5,,,L,7334.75,1.04,,36.3,0.3,0.42,D,7334.37,1.01,,31.2,0.8,0.37,D,,,1,2.2,,,L,7334.71,1.03,,55.1,0.8,0.44,D,7334.48,0.77,,30.1,0.4,0.35,D,7334.32,0.87,,28.3,0.6,0.3,D,7334.6,0.75,,40.9,0.7,0.35,D,7334.43,0.83,,44.6,0.3,0.33,D,7334.49,0.62,,8.4,0.3,0.26,D,,,1,10.2,,,L,,,,,,,R
496,7337.98 ,43.69 ,1.07 ,16.86 ,0.41 ,,,1,2.4,,,L,,,1,7.6,,,L,7338.25,1.51,,4.8,0.5,0.5,D,,,1,1.4,,,L,,,1,2.4,,,L,,,1,2.9,,,L,,,1,0.6,,,L,7337.67,1.01,,7.5,1.3,0.44,D,7337.79,0.57,,2,0.2,0.31,D,7338.06,1.39,,1.9,0.3,0.51,D,,,1,1.7,,,L,,,1,4.2,,,L,,,1,3,,,L,,,1,3,,,L,,,1,1.8,,,L,,,1,7.3,,,L,,,1,2.3,,,L,7338.06,0.91,,4.7,1.5,0.33,D,7338.09,0.87,,4.1,0.5,0.41,D,7338.17,1.66,,13,0.9,0.52,D,,,1,7.6,,,L,7337.75,0.63,,2.9,0.6,0.28,D,,,1,2.6,,,L,,,,,,,R,,,1,2.5,,,L
497,7339.88 ,52.97 ,1.30 ,17.49 ,0.43 ,,,1,2,,,L,,,1,8.7,,,L,,,1,1.6,,,L,,,1,2.5,,,L,,,1,2,,,L,,,1,4.5,,,L,,,1,3.1,,,L,,,1,6,,,L,,,1,1.3,,,L,,,1,1.4,,,L,,,1,2.9,,,L,,,1,4.9,,,L,,,1,4.1,,,L,,,1,4.1,,,L,7340.08,1.21,,5.3,0.6,0.4,D,,,1,4.1,,,L,,,1,2,,,L,7339.99,0.97,,5.7,0.5,0.34,D,,,1,1.6,,,L,,,1,4,,,L,7339.83,1.17,,7.2,0.6,0.36,D,,,1,2,,,L,7339.86,0.9,,2.6,0.5,0.36,D,,,1,1.8,,,L,7339.65,2.23,,6,0.8,0.68,D
498,7347.34 ,60.94 ,1.49 ,21.44 ,0.53 ,,,1,2.7,,,L,,,1,8.1,,,L,,,1,2.1,,,L,,,1,2,,,L,,,1,2.9,,,L,,,1,2.1,,,L,7347.72,1.93,,6.4,0.9,0.54,D,,,1,8.1,,,L,,,1,1.6,,,L,,,1,2.7,,,L,7347.5,1.48,,6.6,1.3,0.57,D,,,1,9.6,,,L,,,1,4.3,,,L,,,1,4.3,,,L,7347.44,1.06,,7.2,0.4,0.42,D,,,1,5.2,,,L,,,1,2.3,,,L,7347.39,1.61,,17.6,1.1,0.57,D,,,1,1.8,,,L,,,1,5.5,,,L,7347.03,1.63,,19,0.9,0.66,D,7347.56,1.41,,11.6,0.9,0.56,D,7347.19,1.42,,5,0.6,0.43,D,7347.12,1.05,1,11.4,2,0.35,C,,,1,5.2,,,L
499,7349.87 ,30.39 ,0.74 ,13.28 ,0.33 ,7349.8,0.99,,7.8,0.4,0.32,D,,,1,4.8,,,L,,,1,1.7,,,L,7349.85,1.03,,2.4,0.6,0.36,D,,,1,2.1,,,L,,,1,2.3,,,L,,,1,1.7,,,L,,,1,4.8,,,L,,,1,1.4,,,L,7350.13,0.39,,3.5,0.7,0.44,D,7349.74,0.61,,5.3,0.8,0.23,D,,,1,9,,,L,,,1,3.1,,,L,,,1,3.1,,,L,7350.04,0.98,,12,0.4,0.32,D,,,1,3.5,,,L,,,,,,,R,7349.95,0.76,,14.9,0.3,0.34,D,7349.96,0.85,,7.6,0.4,0.26,D,7349.74,0.38,,3.3,1,0.18,D,7349.55,0.45,,9.1,1.6,0.34,D,7349.85,0.9,,25.4,0.9,0.42,D,7349.99,0.85,,4,0.7,0.37,D,,,1,2.4,,,L,,,1,5.3,,,L
500,7354.90 ,41.43 ,1.02 ,16.42 ,0.40 ,7354.81,0.73,,3.6,0.4,0.23,D,,,1,7,,,L,7355.16,1.54,1,6.8,0.6,0.45,C,,,1,1.8,,,L,,,1,1.2,,,L,,,1,2.9,,,L,7354.8,1.31,,9.3,0.9,0.38,D,,,,,,,R,7354.83,1.77,,9.6,0.4,0.54,D,7354.77,1.83,,10.5,0.8,0.62,D,7354.85,0.87,,5,1,0.36,D,,,,,,,R,,,1,3.7,,,L,,,1,3.7,,,L,7355.08,0.84,,6.2,0.5,0.3,D,,,1,6,,,L,,,,,,,R,7355.01,0.93,,13.8,0.3,0.38,D,7354.83,0.84,,9.7,0.6,0.5,D,7354.97,1.15,,17.9,1.7,0.44,D,7355.03,0.47,,9.3,0.8,0.39,D,7354.95,0.93,,20.4,1.1,0.48,D,7354.86,0.52,,2.2,0.3,0.21,D,,,1,2.4,,,L,,,1,3.3,,,L
501,7357.60 ,55.24 ,1.35 ,19.38 ,0.48 ,7357.42,1.22,,21.4,0.9,0.45,D,,,1,7.5,,,L,7357.91,0.75,,3.8,0.5,0.33,D,7357.74,1.62,,13.9,0.6,0.58,D,,,1,2.8,,,L,,,1,3.3,,,L,7357.6,1.5,,9.7,0.3,0.47,D,,,1,3.2,,,L,7358.25,1.04,,2.7,0.4,0.25,D,7357.82,0.99,,4.1,0.4,0.37,D,7357.44,1.35,,23.2,0.9,0.49,D,,,1,9.1,,,L,,,1,6.1,,,L,,,1,6.1,,,L,7357.73,1.39,,36.9,0.4,0.49,D,7357.29,1.4,,22.3,1.4,0.51,D,7357.46,0.88,,7.3,1,0.49,D,7357.58,1.46,,43.2,0.7,0.47,D,7357.61,1.55,,34.6,1.2,0.5,D,7357.37,1.55,,31.3,2.2,0.52,D,7357.66,1.46,,51.2,0.6,0.59,D,7357.43,1.48,,56.5,0.7,0.47,D,7357.52,1.33,,12.1,0.3,0.45,D,,,,,,,R,7357.73,1.16,1,13,1.2,0.42,C
502,7360.55 ,25.71 ,0.63 ,10.00 ,0.25 ,7360.51,0.62,,6.4,1.1,0.22,D,,,1,5.3,,,L,,,1,1.4,,,L,7360.47,0.33,,1.8,0.3,0.2,D,,,1,1.5,,,L,,,1,3.5,,,L,7360.58,0.71,,3.2,0.1,0.25,D,,,,,,,R,,,1,0.9,,,L,,,1,1.5,,,L,7360.53,0.55,,6.6,0.6,0.24,D,,,1,6.3,,,L,,,1,3.7,,,L,,,1,3.7,,,L,7360.83,0.62,,8.5,0.2,0.28,D,,,1,2.4,,,L,,,1,2.6,,,L,7360.65,0.64,,9.8,1,0.24,D,7360.64,0.61,,8.1,0.7,0.31,D,7360.48,1.02,,6.6,1,0.32,D,7360.49,0.46,,11.9,0.6,0.3,D,7360.52,0.75,,14.7,0.4,0.27,D,7360.45,0.4,,2.6,0.6,0.16,D,,,1,3.1,,,L,7360.46,0.54,1,3.9,0.7,,C
503,7363.89 ,28.38 ,0.70 ,10.73 ,0.26 ,7363.83,0.68,,2.2,0.5,0.21,D,,,1,3.8,,,L,,,1,0.7,,,L,7363.91,1.17,,2.3,0.6,0.38,D,,,1,1.4,,,L,,,1,7.1,,,L,,,1,2,,,L,,,1,4.4,,,L,,,1,1.2,,,L,,,1,1,,,L,,,1,1.7,,,L,,,1,8,,,L,,,1,4.3,,,L,,,1,4.3,,,L,7364.1,0.55,,3.7,0.3,0.24,D,,,1,2.9,,,L,,,1,1.7,,,L,7363.93,0.44,,4.8,0.9,0.23,D,,,1,1.3,,,L,,,1,3.8,,,L,,,1,1.8,,,L,7363.84,0.81,,7.3,0.5,0.33,D,,,1,0.8,,,L,7363.72,0.53,,3.7,0.8,0.19,D,,,1,2.5,,,L
504,7366.05 ,27.83 ,0.68 ,11.59 ,0.28 ,7365.92,0.6,,10.9,0.8,0.25,D,,,1,8.6,,,L,7366.22,0.48,1,3.7,0.4,0.23,C,7365.94,0.58,,8.1,0.7,0.35,D,,,1,1.5,,,L,,,1,3.8,,,L,7366.37,0.83,,7.6,0.5,0.3,D,7366.1,0.23,,5.1,1.2,0.26,D,7366.6,0.44,,4.6,0.4,0.3,D,,,1,2.5,,,L,7366,0.66,,8.9,0.9,0.29,D,,,1,7.7,,,L,,,1,5.8,,,L,,,1,5.8,,,L,7365.99,0.64,,16.6,0.8,0.29,D,,,1,9.7,,,L,7366.01,0.82,,7.7,0.9,0.31,D,7366.06,0.73,,24.1,1.6,0.32,D,7366.11,0.88,,13.3,0.3,0.33,D,7365.98,0.47,,7.3,1.1,0.19,D,7365.97,0.91,,15.7,1,0.31,D,7366,0.84,,24.5,2,0.32,D,7366.05,0.82,,6.4,0.6,0.31,D,7366.28,0.33,1,6.8,1.1,0.2,C,7365.7,0.8,,1.8,0.5,0.14,D
505,7367.08 ,25.90 ,0.64 ,11.31 ,0.28 ,7366.94,0.9,,39.6,0.5,0.32,D,7367.06,0.54,,16.9,1.2,0.19,D,7367.04,0.5,1,6,0.2,0.19,C,7367.1,0.64,,22.4,0.9,0.28,D,7367.19,0.83,,8.2,0.2,0.29,D,7367.09,0.5,,13.3,0.5,0.24,D,7367.1,0.76,,14.2,0.9,0.27,D,7367.05,0.58,,15.9,0.3,0.23,D,7367.07,0.26,,6,0.1,0.31,D,7367.09,0.51,,9.2,0.5,0.32,D,7367.03,0.56,,25,0.5,0.26,D,,,1,5.6,,,L,,,1,8,,,L,,,1,8,,,L,7367.18,0.72,,66.3,0.3,0.31,D,7366.98,0.78,,79.2,2,0.33,D,7367.03,0.58,,12.9,0.4,0.27,D,7367.15,0.85,,53.9,1.6,0.32,D,7367.1,0.61,,10.9,0.2,0.26,D,7366.95,0.74,,25.2,0.6,0.3,D,7367.05,0.66,,38.6,0.6,0.27,D,7367.02,0.66,,50.6,1.1,0.29,D,7367.09,0.53,,28.6,0.1,0.23,D,,,,,,,R,7367.27,0.67,,11.1,1.1,0.25,D
506,7375.85 ,30.19 ,0.74 ,12.39 ,0.30 ,7375.71,0.79,,8,0.7,0.31,D,,,1,4.2,,,L,,,1,1.7,,,L,,,1,1.7,,,L,,,1,1.6,,,L,,,1,2.7,,,L,7375.71,0.52,,4.6,0.5,0.3,D,,,1,2.4,,,L,7375.83,1.04,,2.2,0.4,0.3,D,7375.84,0.42,,1.1,0.4,0.13,D,7375.81,0.78,,5.1,0.5,0.28,D,,,,,,,R,7375.89,1.21,,5.5,1.2,0.36,D,7375.89,1.21,,5.5,1.2,0.36,D,7376.04,0.9,,14.9,0.8,0.4,D,7375.71,0.54,,7.1,1.3,0.24,D,7375.82,0.75,,2.8,0.2,0.28,D,7375.91,0.79,,15,0.6,0.32,D,7375.94,0.49,,8.4,0.4,0.29,D,7375.56,0.64,,9.8,0.9,0.29,D,7375.87,0.54,,12.5,1.1,0.22,D,7375.75,0.63,,23.4,1.2,0.46,D,7375.83,0.53,,3.6,0.4,0.22,D,7376.04,0.89,,5.7,0.4,0.27,D,7375.99,0.7,,7.2,0.4,0.38,D
507,7382.53 ,25.66 ,0.63 ,12.95 ,0.32 ,,,1,2.3,,,L,,,1,5.2,,,L,,,1,1.6,,,L,7382.74,0.13,,1.2,0.2,0.56,D,,,1,1.4,,,L,,,1,2.2,,,L,,,1,1,,,L,,,1,2.6,,,L,,,1,1.4,,,L,,,1,1.1,,,L,7382.56,0.59,,2.3,0.7,0.2,D,,,1,2.9,,,L,,,1,4.7,,,L,,,1,4.7,,,L,7382.77,0.52,,4.1,0.5,0.28,D,,,1,7.4,,,L,,,1,0.9,,,L,7382.57,0.85,,8,0.2,0.31,D,7382.37,0.89,,3.6,0.6,0.38,D,,,1,3.5,,,L,7382.35,0.59,,5.1,0.8,0.2,D,7382.32,0.85,,4.8,0.2,0.3,D,,,1,1.9,,,L,,,1,3.3,,,L,,,1,3,,,L
508,7385.85 ,24.15 ,0.59 ,8.96 ,0.22 ,7385.87,0.54,,7.2,0.4,0.2,D,,,1,3.7,,,L,,,1,0.7,,,L,7385.8,0.48,,2.3,0.1,0.18,D,,,1,1,,,L,,,1,2.5,,,L,7385.84,0.56,,2.6,0.2,0.19,D,7385.77,0.58,,4.3,0.7,0.21,D,,,1,0.5,,,L,,,1,0.9,,,L,7385.78,0.62,,3.6,0.5,0.19,D,,,,,,,R,,,1,2.1,,,L,,,1,2.1,,,L,7386.06,0.73,,12.8,0.3,0.28,D,7385.73,0.85,,7.7,0.8,0.25,D,7385.83,0.59,,2.3,0.3,0.19,D,7385.99,0.63,,16.1,0.3,0.28,D,7385.82,0.8,,4.7,0.4,0.3,D,7385.69,0.5,,7,0.4,0.23,D,7385.85,0.49,,9.8,0.2,0.2,D,7385.79,0.47,,9.5,0.1,0.2,D,7385.86,0.53,,4.2,0.5,0.18,D,7386.11,0.55,,6.3,0.2,0.23,D,,,1,1.6,,,L
509,7402.60 ,107.37 ,2.65 ,37.99 ,0.94 ,7402.51,2.48,,16,1.7,0.93,D,,,1,12.6,,,L,7403.17,3.55,,16,1.2,1.2,D,7402.55,1.46,,6.4,1.4,0.54,D,7402.44,1.88,,9.8,1.3,0.83,D,,,1,9.4,,,L,7402.79,3.15,,12.8,1.3,0.96,D,7402.63,4.68,,30.5,5.9,1.48,D,7402.95,3.43,,15.1,1.1,1.1,D,7403.08,3.5,,13.2,1.5,1.04,D,7402.68,1.77,1,17.6,2.4,0.86,C,,,,,,,R,,,1,6.6,,,L,,,1,6.6,,,L,7403.55,3.2,1,56.7,1.6,0.94,C,7402.44,2.97,,60.7,4.8,1.11,D,,,1,4.2,,,L,7402.23,2.38,,69,3.2,1.36,D,7402.43,1.66,,9.5,2.2,0.5,D,7402.34,2.66,,34,1.4,0.86,D,7402.81,1.65,,28.1,3.7,0.86,D,7402.75,1.86,,38.9,1.7,0.88,D,7402.51,1.66,,6.2,1.6,0.54,D,7402.6,2.44,,9.5,1.7,0.85,D,,,1,6.3,,,L
510,7405.73 ,26.42 ,0.65 ,9.90 ,0.24 ,7405.72,0.69,,8.3,0.6,0.29,D,,,1,3.2,,,L,7405.72,0.5,,1.3,0.2,0.2,D,7405.7,0.65,,3,0.4,0.23,D,,,1,1.8,,,L,,,1,1.7,,,L,,,1,1.2,,,L,,,1,3.6,,,L,,,1,0.5,,,L,,,1,1.2,,,L,7405.69,0.47,,5.9,0.4,0.2,D,,,,,,,R,,,,,,,R,,,,,,,R,7405.95,0.79,,9,0.2,0.29,D,7405.61,1.17,,18.4,2,0.4,D,,,1,0.8,,,L,7405.75,0.64,,15.3,0.6,0.23,D,7405.74,0.59,,3.9,0.3,0.19,D,7405.5,0.52,,8.3,1.4,0.28,D,7405.75,0.85,,16.7,0.6,0.3,D,7405.69,0.74,,13.7,1.1,0.26,D,7405.74,0.58,,1.6,0.4,0.18,D,7405.82,0.22,,1.2,0.4,0.13,D,7405.88,0.72,,6.3,0.5,0.24,D
511,7406.26 ,62.09 ,1.53 ,29.93 ,0.74 ,7406.29,1.54,,18.2,1.6,0.8,D,,,1,7.9,,,L,,,1,3.3,,,L,7406.55,2.43,,6,1.6,0.74,D,,,1,6.8,,,L,,,1,5.8,,,L,,,1,3.7,,,L,,,1,11.1,,,L,,,1,3.4,,,L,,,1,4.3,,,L,7406.18,1.87,,12.9,2.6,0.81,D,,,,,,,R,,,1,11.3,,,L,,,1,11.3,,,L,7406.44,0.78,,13.5,0.8,0.72,D,7405.77,1.17,,25.5,3.5,0.58,D,,,1,3,,,L,7406.5,1.24,,34.4,1.8,0.75,D,7406.47,2.22,,9.1,2.4,0.71,D,7405.41,0.54,,8.9,2.2,,D,7406.42,2.26,,33.4,2.9,0.77,D,7406.27,2.06,,23.8,5.4,0.76,D,,,1,2.7,,,L,7406.13,0.68,,5,1.4,0.57,D,7406.17,1.24,,16.3,2.6,0.76,D
512,7407.40 ,23.21 ,0.57 ,10.98 ,0.27 ,7407.26,0.61,,7.2,0.4,0.39,D,,,1,3.2,,,L,,,1,0.7,,,L,7407.46,0.73,,1.9,0.4,0.22,D,,,1,1.2,,,L,,,1,1.8,,,L,,,1,1.1,,,L,,,1,2.6,,,L,,,1,1.2,,,L,,,1,0.9,,,L,7407.31,0.82,,5.7,0.7,0.26,D,,,,,,,R,,,1,2.8,,,L,,,1,2.8,,,L,7407.52,0.09,,3.6,0.3,0.26,D,,,1,3.3,,,L,,,1,1.4,,,L,7407.43,0.93,,8.6,0.7,0.3,D,7407.27,0.83,,3.3,0.4,0.28,D,7407.32,0.51,,1.6,0.4,0.16,D,7407.41,0.5,,10.7,1.2,0.3,D,7407.42,0.65,,7,0.9,0.23,D,,,1,1.3,,,L,,,1,1.9,,,L,7407.64,0.06,,4.7,0.5,0.31,D
513,7419.11 ,25.83 ,0.64 ,11.08 ,0.27 ,7419.09,0.59,,7.4,0.4,0.25,D,,,1,5,,,L,7419.02,0.62,,1.8,0.3,0.19,D,7419.22,0.98,,2.4,0.3,0.29,D,,,1,1,,,L,7419.01,0.18,,1.7,0.4,0.25,D,7418.94,0.49,,2.4,0.2,0.25,D,,,1,2,,,L,,,1,0.7,,,L,7419.08,1,,0.9,0.3,0.41,D,7419.12,0.61,,4.7,0.4,0.28,D,,,,,,,R,7419.06,0.37,,2.9,0.5,0.26,D,7419.06,0.37,,2.9,0.5,0.26,D,7419.34,0.8,,9.8,0.2,0.32,D,7419.03,0.87,,15.8,1.5,0.31,D,,,1,1,,,L,7419.22,0.76,,11.9,0.7,0.29,D,7419.15,0.62,,1.9,0.3,0.2,D,7419.04,0.76,,11.3,0.7,0.32,D,7419.08,0.54,,7.9,0.5,0.24,D,7419.13,0.61,,17.7,1.3,0.4,D,7419.04,0.43,,2.5,0.1,0.15,D,7419.04,0.47,,2.7,0.2,0.19,D,7419.32,0.8,,9.8,0.4,0.33,D
514,7429.91 ,153.84 ,3.81 ,50.07 ,1.24 ,,,1,8.2,,,L,,,1,19.6,,,L,,,1,0.2,,,L,,,1,7,,,L,,,1,8.6,,,L,,,1,5.9,,,L,7429.94,2.92,,24.7,2.9,1.12,D,,,1,16.7,,,L,7429.59,3.88,,20.1,1.7,1.2,D,7429.73,3.97,,14.7,2,1.14,D,,,1,8.2,,,L,,,,,,,R,,,1,19.3,,,L,,,1,19.3,,,L,,,1,13.1,,,L,,,1,30,,,L,,,1,8.3,,,L,,,1,8.6,,,L,,,1,8.8,,,L,7430.22,4.22,,46.4,6.2,1.41,D,,,,,,,R,7430.08,4.06,,37.1,6.5,1.33,D,,,1,5.2,,,L,,,1,7.6,,,L,,,,,,,R
515,7451.36 ,39.86 ,0.99 ,14.70 ,0.37 ,7451.24,0.7,,4.6,0.9,0.23,D,,,1,5.4,,,L,,,1,3,,,L,7451.21,0.96,,5.4,0.4,0.49,D,,,1,0.5,,,L,7451.6,0.24,,2.9,0.9,0.18,D,,,1,3.7,,,L,,,1,7,,,L,,,1,1.1,,,L,,,1,1.6,,,L,7451.69,0.53,,6.4,0.5,0.26,D,,,,,,,R,,,,,,,R,,,,,,,R,7451.52,0.9,,12.4,1.3,0.38,D,7451.23,0.79,,19.4,0.9,0.27,D,7451.42,1.38,,6.4,0.8,0.43,D,7451.47,1.01,,17,0.8,0.36,D,7451.25,0.89,,5.4,1.6,0.34,D,7451.03,1.21,,16.1,0.6,0.39,D,7451.28,0.66,,9.4,0.7,0.32,D,7451.22,0.7,,14.7,0.6,0.31,D,7451.32,1.53,,7.9,1.2,0.46,D,7451.5,1.46,,7.9,0.6,0.5,D,,,1,2.1,,,L
516,7458.26 ,57.52 ,1.43 ,22.39 ,0.56 ,,,1,6.9,,,L,,,1,18.3,,,L,,,1,8.6,,,L,,,1,2.3,,,L,,,1,3.3,,,L,,,1,5.5,,,L,,,1,7.9,,,L,,,1,8.9,,,L,,,1,3.5,,,L,,,1,2.9,,,L,,,1,3.4,,,L,,,1,11.7,,,L,,,1,8.3,,,L,,,1,8.3,,,L,7458.61,1.32,,11.3,1.5,0.53,D,,,1,8.2,,,L,,,1,5.6,,,L,7458.24,1.59,,6.6,1.4,0.5,D,7458.22,1.54,,8,0.9,0.59,D,,,1,4.2,,,L,7458.28,1.72,,24,1,0.66,D,7457.75,1.25,,12.9,2.3,0.63,D,7458.44,1.16,,5.9,1,0.43,D,,,1,4,,,L,,,1,2.6,,,L
